"Device Type","Test Group","Date","Converted","Total Spent"
"A","A","2023-01-25","0","0"
"A","B","2023-02-04","0","0"
"A","B","2023-01-25","0","0"
"A","A","2023-01-25","0","0"
"I","B","2023-01-26","0","0"
"A","A","2023-01-28","0","0"
"A","A","2023-01-28","0","0"
"I","A","2023-02-04","0","0"
"A","A","2023-02-01","0","0"
"A","A","2023-01-27","0","0"
"I","B","2023-01-25","0","0"
"A","B","2023-01-25","0","0"
"A","B","2023-01-25","0","0"
"A","A","2023-01-31","0","0"
"A","B","2023-01-30","0","0"
"I","A","2023-01-26","0","0"
"A","B","2023-01-26","0","0"
"A","A","2023-02-02","0","0"
"A","B","2023-01-26","0","0"
"I","B","2023-01-27","0","0"
"I","B","2023-01-25","1","22.73"
"I","A","2023-01-25","0","0"
"A","B","2023-02-02","0","0"
"A","B","2023-01-27","1","34.1"
"A","B","2023-01-31","0","0"
"A","A","2023-02-03","0","0"
"A","B","2023-01-31","0","0"
"A","A","2023-01-25","0","0"
"A","B","2023-02-03","0","0"
"A","A","2023-01-27","0","0"
"A","B","2023-01-26","0","0"
"I","B","2023-01-25","0","0"
"A","A","2023-01-26","0","0"
"I","A","2023-01-27","0","0"
"I","A","2023-02-03","0","0"
"A","A","2023-02-01","0","0"
"A","A","2023-01-26","0","0"
"A","A","2023-01-28","0","0"
"I","B","2023-02-04","0","0"
"A","A","2023-01-25","0","0"
"A","A","2023-01-26","0","0"
"I","B","2023-01-28","0","0"
"A","A","2023-01-25","0","0"
"A","A","2023-01-29","0","0"
"A","B","2023-01-25","0","0"
"A","B","2023-01-28","0","0"
"A","A","2023-01-26","0","0"
"I","B","2023-01-26","0","0"
"I","B","2023-01-29","0","0"
"A","A","2023-01-26","0","0"
"I","B","2023-01-26","0","0"
"A","B","2023-01-26","0","0"
"I","B","2023-01-31","0","0"
"A","A","2023-02-04","1","92.1"
"I","B","2023-02-06","0","0"
"I","A","2023-01-25","0","0"
"A","A","2023-01-28","0","0"
"A","A","2023-01-31","0","0"
"A","B","2023-01-27","0","0"
"I","B","2023-01-27","0","0"
"I","A","2023-01-25","0","0"
"A","B","2023-01-28","0","0"
"I","A","2023-01-26","0","0"
"I","B","2023-01-29","0","0"
"I","A","2023-01-25","0","0"
"A","B","2023-01-28","0","0"
"I","B","2023-01-31","0","0"
"I","B","2023-01-28","0","0"
"A","B","2023-01-27","0","0"
"A","B","2023-01-31","0","0"
"I","B","2023-01-26","0","0"
"A","A","2023-02-02","0","0"
"A","A","2023-01-25","0","0"
"A","B","2023-01-26","0","0"
"A","B","2023-01-29","0","0"
"A","B","2023-02-02","0","0"
"A","A","2023-01-26","0","0"
"A","B","2023-01-26","0","0"
"I","B","2023-01-30","0","0"
"I","B","2023-01-25","0","0"
"I","B","2023-01-25","0","0"
"I","A","2023-01-25","0","0"
"A","A","2023-01-25","0","0"
"I","B","2023-01-29","0","0"
"A","A","2023-01-26","0","0"
"I","A","2023-02-01","0","0"
"A","B","2023-02-03","0","0"
"A","B","2023-01-27","0","0"
"I","B","2023-01-25","0","0"
"I","A","2023-01-26","0","0"
"I","A","2023-01-29","0","0"
"I","B","2023-02-03","0","0"
"I","B","2023-01-25","0","0"
"A","A","2023-01-26","0","0"
"I","B","2023-01-25","0","0"
"I","A","2023-01-29","0","0"
"A","A","2023-01-28","0","0"
"A","A","2023-01-27","0","0"
"A","A","2023-01-27","0","0"
"A","A","2023-01-28","0","0"
"I","B","2023-01-26","0","0"
"A","B","2023-01-26","0","0"
"A","B","2023-01-29","0","0"
"A","A","2023-02-01","0","0"
"A","A","2023-01-29","0","0"
"A","A","2023-01-25","0","0"
"I","A","2023-01-26","0","0"
"A","A","2023-02-06","0","0"
"I","B","2023-01-25","0","0"
"A","A","2023-02-01","0","0"
"A","A","2023-01-29","0","0"
"A","A","2023-01-31","0","0"
"I","A","2023-01-25","0","0"
"I","A","2023-01-28","0","0"
"A","B","2023-02-01","0","0"
"A","A","2023-01-26","0","0"
"A","A","2023-01-31","0","0"
"I","A","2023-01-31","0","0"
"I","B","2023-02-01","0","0"
"I","A","2023-01-30","1","71.87"
"I","A","2023-01-28","0","0"
"I","B","2023-01-25","0","0"
"A","B","2023-01-25","1","95.93"
"A","A","2023-01-25","0","0"
"A","B","2023-02-01","0","0"
"A","A","2023-01-31","0","0"
"A","A","2023-02-06","0","0"
"I","B","2023-01-28","0","0"
"A","B","2023-01-25","0","0"
"A","B","2023-01-26","0","0"
"A","A","2023-01-25","0","0"
"I","B","2023-02-04","0","0"
"I","B","2023-01-25","0","0"
"A","B","2023-01-25","0","0"
"A","B","2023-01-30","0","0"
"I","B","2023-01-28","0","0"
"A","A","2023-01-30","1","157.13"
"A","B","2023-01-29","0","0"
"I","B","2023-01-31","0","0"
"A","B","2023-02-04","0","0"
"A","B","2023-02-02","0","0"
"A","A","2023-01-27","0","0"
"I","A","2023-01-26","0","0"
"A","B","2023-01-25","0","0"
"A","A","2023-01-31","0","0"
"I","A","2023-01-25","0","0"
"A","B","2023-01-30","0","0"
"A","A","2023-02-03","0","0"
"I","B","2023-01-25","0","0"
"A","A","2023-01-26","0","0"
"I","A","2023-01-25","0","0"
"I","B","2023-01-25","0","0"
"A","A","2023-01-25","0","0"
"A","A","2023-01-25","0","0"
"A","A","2023-01-28","0","0"
"A","A","2023-01-25","0","0"
"A","A","2023-01-25","0","0"
"I","A","2023-01-27","0","0"
"I","A","2023-01-27","0","0"
"A","A","2023-01-29","0","0"
"A","B","2023-01-26","0","0"
"I","A","2023-01-27","0","0"
"A","B","2023-01-25","0","0"
"A","A","2023-01-26","0","0"
"A","B","2023-01-26","0","0"
"I","B","2023-01-29","0","0"
"A","B","2023-02-05","0","0"
"A","B","2023-02-01","0","0"
"A","A","2023-01-26","0","0"
"A","A","2023-01-29","0","0"
"A","A","2023-01-26","0","0"
"I","A","2023-01-26","0","0"
"A","B","2023-01-27","0","0"
"A","B","2023-01-27","0","0"
"A","B","2023-01-25","0","0"
"A","A","2023-02-05","0","0"
"A","A","2023-01-26","0","0"
"A","A","2023-02-01","0","0"
"I","B","2023-02-04","0","0"
"A","A","2023-02-01","0","0"
"A","B","2023-02-03","0","0"
"A","A","2023-02-04","0","0"
"I","A","2023-01-28","0","0"
"I","A","2023-01-29","0","0"
"A","B","2023-01-28","0","0"
"U","A","2023-01-25","0","0"
"I","A","2023-01-26","0","0"
"A","B","2023-02-02","0","0"
"A","B","2023-01-28","0","0"
"I","B","2023-01-28","0","0"
"I","A","2023-01-27","0","0"
"A","A","2023-01-26","0","0"
"I","B","2023-01-29","0","0"
"A","B","2023-01-28","0","0"
"I","A","2023-02-01","0","0"
"I","B","2023-01-30","1","56.33"
"A","B","2023-01-27","0","0"
"A","B","2023-01-25","0","0"
"I","A","2023-01-28","0","0"
"A","A","2023-01-26","0","0"
"I","A","2023-01-26","0","0"
"I","A","2023-01-26","0","0"
